2012-05-09 04:56:05 Notice: Notice (8): Undefined variable: count in [/home/dev/public_html/Coordino/app/views/posts/display.ctp, line 12]
2012-05-09 05:39:58 Notice: Notice (8): Use of undefined constant DEFAULT_LANGUAGE - assumed 'DEFAULT_LANGUAGE' in [/home/dev/public_html/Coordino/app/controllers/components/p28n.php, line 7]
2012-05-09 06:04:49 Notice: Notice (8): Undefined variable: questions in [/home/dev/public_html/Coordino/app/models/tag.php, line 89]
2013-06-08 17:10:01 Debug: Notice (8): Undefined property: AuthComponent::$Session in [C:\wamp\apps\Coordino\cake\libs\controller\components\auth.php, line 690]
2013-06-08 18:02:34 Debug: Notice (8): Undefined property: TagsController::$Recapthca in [C:\wamp\apps\Coordino\app\app_controller.php, line 43]
2013-06-08 18:02:40 Debug: Notice (8): Undefined property: TagsController::$Recaptcha in [C:\wamp\apps\Coordino\app\app_controller.php, line 43]
2013-06-08 18:08:55 Debug: Notice (8): Use of undefined constant DEFAULT_LANGUAGE - assumed 'DEFAULT_LANGUAGE' in [C:\wamp\apps\Coordino\app\controllers\components\p28n.php, line 7]
2013-06-08 18:09:39 Debug: Notice (8): Undefined variable: recaptcha in [C:\wamp\apps\Coordino\app\views\posts\ask.ctp, line 114]
2013-06-08 18:24:32 Debug: Notice (8): Undefined property: AuthComponent::$Session in [C:\wamp\apps\Coordino\cake\libs\controller\components\auth.php, line 690]
2013-06-09 03:39:19 Debug: Notice (8): Undefined property: InstallerController::$Auth in [C:\wamp\apps\Coordino\app\controllers\installer_controller.php, line 10]
2013-06-09 03:40:14 Debug: Notice (8): Undefined property: InstallerController::$Auth in [C:\wamp\apps\Coordino\app\controllers\installer_controller.php, line 10]
2013-06-09 03:42:12 Debug: Notice (8): Undefined property: InstallerController::$Auth in [C:\wamp\apps\Coordino\app\controllers\installer_controller.php, line 10]
2013-06-09 03:42:20 Debug: Notice (8): Undefined property: InstallerController::$Auth in [C:\wamp\apps\Coordino\app\controllers\installer_controller.php, line 10]
2013-06-09 03:42:40 Debug: Notice (8): Undefined property: AuthComponent::$Session in [C:\wamp\apps\Coordino\cake\libs\controller\components\auth.php, line 690]
2013-06-09 03:48:37 Debug: Notice (8): Undefined property: AuthComponent::$Session in [C:\wamp\apps\Coordino\cake\libs\controller\components\auth.php, line 690]
2013-06-09 03:53:05 Debug: Notice (8): Undefined property: AuthComponent::$Session in [C:\wamp\apps\Coordino\cake\libs\controller\components\auth.php, line 690]
2013-06-09 03:57:13 Debug: Notice (8): Undefined property: SessionComponent::$enabled in [C:\wamp\apps\Coordino\cake\libs\controller\component.php, line 142]
2013-06-09 03:58:57 Debug: Notice (8): Undefined property: SessionComponent::$enabled in [C:\wamp\apps\Coordino\cake\libs\controller\component.php, line 142]
2013-06-09 03:59:47 Debug: Notice (8): Undefined property: SessionComponent::$enabled in [C:\wamp\apps\Coordino\cake\libs\controller\component.php, line 142]
